xcoord,ycoord
1237338,4954010
1237457,4946720
1234599,4956899
1238432,4958130
1228165,4957356
1225567,4964212
1224198,4962299
1229571,4963455
1242537,4951311
1231849,4954212
1224712,4949494
1245428,4965781
1242498,4961990
1219150,4951981
1314955,5141600
1304600,5133200
1306799,5087928
1444766,5240427
1443531,5235877
1377913,5147723
1374860,5140648
1541138,5290996
1558607,5288994
1536249,5288957
1563652,5298004
1567694,5289036
1553678,5265191
1156898,4896561
1203899,4864030
1203492,4860661
1216730,4992836
1219400,4982700
1417505,5156077
1423182,5171993
1420362,5160525
1421685,5167526
1474069,5184104
1656765,5415586
1614013,5399968
1577370,5440951
1235585,5049512
1578379,5456164
1352119,5140565
1346920,5128148
1238605,4948280
1313782,5066967
1469905,5261669
1540910,5274194
1560721,5335328
1435924,5182660
1267531,4957821
1256219,5029702
1256220,5035532
1257747,5031541
1257496,5026741
1569400,5298700
1555867,5301939
1205088,4929954
1201358,4925956
1202396,4922677
1210648,4932089
1206669,4918012
1199197,4920545
1203526,4935452
1197003,4929788
1197349,4924025
1335455,5084352
1336505,5091387
1662489,5381907
1668256,5381230
1628765,5375999
1462901,5234027
1448126,5216752
1376400,5178700
1165180,4865748
1208280,5061440
1555272,5316286
1553026,5313788
1385158,5178692
1560105,5455630
1406513,5171936
1580835,5353001
1168605,4906780
1243324,5056257
1473428,5242473
1487732,5249199
1361383,5048950
1621130,5373506
1608704,5368318
1611592,5358366
1614002,5365319
1615786,5371700
1606204,5363520
1604100,5360000
1599530,5363050
1606794,5353196
1616195,5357775
1659133,5339375
1642465,5322901
1145313,4908077
1128588,4921177
1137909,4923812
1141241,4931912
1300347,5142013
1585630,5333961
1591734,5335170
1323996,5109050
1329209,5117145
1325318,5091234
1322474,5081986
1466730,5251773
1676781,5358312
1537359,5282771
1530518,5276659
1519541,5277770
1148174,4877002
1538742,5301420
1220153,4984741
1625874,5329353
1612548,5344074
1640899,5411606
1634715,5410207
1631988,5408568
1614654,5393223
1316255,5117670
1315229,5107604
1648894,5314079
1567030,5467913
1349340,5134938
1346033,5131918
1207612,5058653
1288726,5018801
1439419,5196509
1256957,5029969
1571028,5318288
1478664,5238148
1626898,5365417
1656681,5373652
1417430,5211581
1487865,5270710
1366022,5162374
1373700,5170600
1382600,5167900
1499993,5263535
1395987,5057974
1602900,5354100
1603515,5373179
1602049,5365153
1530699,5234509
1227376,5015513
1652019,5330410
1646434,5325988
1633512,5314426
1563964,5450637
1472160,5232076
1531147,5249776
1197896,5061354
1575568.723,5169327.523
1210762,4926289
1364328,5158637
1243128.546,5023523.692
1482553.655,5245310.46
1482634.935,5245102.179
1482700.975,5244878.659
1482751.775,5244609.418
1482789.091,5244427.067
1483859.217,5248317.826
1482161.941,5250600.949
1482055.814,5251264.232
1482518.095,5257136.723
1482660.335,5256969.083
1488334.573,5234983.869
1489414.075,5234073.701
1539304.57,5313982.162
1588583.421,5363770.778
1593197.764,5360553.438
