MastC,Kclass,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
mast,0,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
mast,1,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
mast,2,0.081043318,0.077804461,0.101859164,0.210241689,0.32243597,0.273746502,0.211156651,0.17000958,0.142303243,0.121845527,0.105458094,0.091748144
mast,3,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
mast,4,0.04442219,0.096134043,0.159154943,0.222175844,0.273887696,0.307789238,0.323240924,0.323315545,0.312188542,0.29359146,0.270309962,0.244228957
mast,5,0.085644424,0.076256259,0.159154943,0.242053627,0.232665462,0.210084525,0.190659451,0.174197763,0.159154943,0.144112123,0.127650435,0.108225361
nonmast,0,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
nonmast,1,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
nonmast,2,0.081043318,0.077804461,0.101859164,0.210241689,0.32243597,0.273746502,0.211156651,0.17000958,0.142303243,0.121845527,0.105458094,0.091748144
nonmast,3,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
nonmast,4,0.081043318,0.077804461,0.101859164,0.210241689,0.32243597,0.273746502,0.211156651,0.17000958,0.142303243,0.121845527,0.105458094,0.091748144
nonmast,5,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
postmast,0,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
postmast,1,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
postmast,2,0.081043318,0.077804461,0.101859164,0.210241689,0.32243597,0.273746502,0.211156651,0.17000958,0.142303243,0.121845527,0.105458094,0.091748144
postmast,3,0.112551141,0.103014376,0.095492966,0.159154943,0.333082699,0.22281692,0.179703817,0.159154943,0.146422548,0.136942308,0.128811919,0.120957757
postmast,4,0.21655316,0.18803407,0.159154943,0.130275816,0.101756726,0.074080929,0.047999924,0.024718426,0.006121344,0.005005659,0.004931038,0.010520648
postmast,5,0.085644424,0.076256259,0.159154943,0.242053627,0.232665462,0.210084525,0.190659451,0.174197763,0.159154943,0.144112123,0.127650435,0.108225361
